datetime,open,high,low,close,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,date,hour,dayofweek,month,day,dayofyear
2024-10-08 16:30:00+00:00,132.57,132.695,132.395,132.48,NVDA,0.825817,0.198731,Somewhat-Bullish,2024-10-08,16,1,10,8,282
2024-10-08 16:40:00+00:00,132.48,132.5,132.09,132.22,NVDA,0.07157,0.039181,Neutral,2024-10-08,16,1,10,8,282
2024-10-08 16:50:00+00:00,132.22,132.425,132.14,132.28,NVDA,0.07157,0.039181,Neutral,2024-10-08,16,1,10,8,282
2024-10-08 17:00:00+00:00,132.28,132.39,131.71,131.89,NVDA,0.179788,-0.052208,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 17:10:00+00:00,131.89,132.18,131.7,132.01,NVDA,0.179788,-0.052208,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 17:20:00+00:00,132.01,132.28,131.96,132.06,NVDA,0.162802,0.008186,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 17:30:00+00:00,132.065,132.27,131.995,132.215,NVDA,0.162802,0.008186,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 17:40:00+00:00,132.215,132.295,132.0,132.275,NVDA,0.129516,0.0,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 17:50:00+00:00,132.27,132.49,132.22,132.48,NVDA,0.129516,0.0,Neutral,2024-10-08,17,1,10,8,282
2024-10-08 18:00:00+00:00,132.475,132.49,132.225,132.26,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 18:10:00+00:00,132.26,132.37,132.215,132.285,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 18:20:00+00:00,132.285,132.65,132.18,132.615,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 18:30:00+00:00,132.615,132.775,132.27,132.75,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 18:40:00+00:00,132.75,132.92,132.6,132.655,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 18:50:00+00:00,132.655,132.99,132.625,132.975,NVDA,0.129516,0.0,Neutral,2024-10-08,18,1,10,8,282
2024-10-08 19:00:00+00:00,132.98,132.98,132.69,132.77,NVDA,0.129516,0.0,Neutral,2024-10-08,19,1,10,8,282
2024-10-08 19:10:00+00:00,132.765,132.99,132.57,132.985,NVDA,0.129516,0.0,Neutral,2024-10-08,19,1,10,8,282
2024-10-08 19:20:00+00:00,132.99,133.315,132.9,133.285,NVDA,0.129516,0.0,Neutral,2024-10-08,19,1,10,8,282
2024-10-08 19:30:00+00:00,133.29,133.485,133.08,133.335,NVDA,0.318897,0.214193,Somewhat-Bullish,2024-10-08,19,1,10,8,282
2024-10-08 19:40:00+00:00,133.335,133.395,132.965,132.98,NVDA,0.318897,0.214193,Somewhat-Bullish,2024-10-08,19,1,10,8,282
2024-10-08 19:50:00+00:00,132.98,133.105,132.73,132.93,NVDA,0.318897,0.214193,Somewhat-Bullish,2024-10-08,19,1,10,8,282
2024-10-09 13:30:00+00:00,134.135,134.52,132.19,132.515,NVDA,0.17879,0.303586,Somewhat-Bullish,2024-10-09,13,2,10,9,283
2024-10-09 13:40:00+00:00,132.53,132.905,131.39,132.18,NVDA,0.172713,0.226522,Somewhat-Bullish,2024-10-09,13,2,10,9,283
2024-10-09 13:50:00+00:00,132.18,132.595,131.9,132.4,NVDA,0.088472,0.157372,Somewhat-Bullish,2024-10-09,13,2,10,9,283
2024-10-09 14:00:00+00:00,132.39,133.41,132.38,133.22,NVDA,0.32478,0.225116,Somewhat-Bullish,2024-10-09,14,2,10,9,283
